,course_code,course_title,course_descr,instructor,department,department_code,link,points,prerequisites,category,culpa_rating
0,BIOL BC1503,INTRO LAB CELLULAR&MOLEC BIO,A laboratory-based introduction to cell and molecular biology. Both classic and modern approaches are used to investigate principles of heredity as well as the structure and function of cells and their molecular components. Lab exercises introduce practical techniques and data analysis.,,Biological Sciences @Barnard,BIOL,https://doc.sis.columbia.edu/subj/BIOL/X1503-20261-009/,2,,STEM,1.2
1,APMA E4008,Advanced and Applied Linear Algebra,"Advanced topics in linear algebra with applications to data analysis, algorithms, dynamics and differential equations, and more. (1) General vector spaces, linear transformations, spaces isomorphisms; (2) spectral theory - normal matrices and their spectral properties, Rayleigh quotient, Courant-Fischer Theorem, Jordan forms, eigenvalue perturbations; (3) least squares problem and the Gauss-Markov Theorem; (4) singular value decomposition, its approximation properties, matrix norms, PCA and CCA.",Yuan He,Applied Physics and Applied Mathematics,APMA,https://doc.sis.columbia.edu/subj/APMA/E4008-20261-001/,3,,STEM,3.21
2,IEOR E4532,Visualization and Storytelling with Data,Data visualization and how to build a story with data. Using complex data or statistics to communicate results effectively. Learn to present analysis and results conscisely and effectively.,Michelle Glaser,Industrial Engineering and Operations Research,IEOR,https://doc.sis.columbia.edu/subj/IEOR/E4532-20261-001/,1.5,,STEM,4.62
3,COMS W1004,INTRO-COMPUT SCI/PROG IN JAVA,"A general introduction to computer science for science and engineering students interested in majoring in computer science or engineering. Covers fundamental concepts of computer science, algorithmic problem-solving capabilities, and introductory Java programming skills. Assumes no prior programming background. Columbia University students may receive credit for only one of the following two courses: 1004 or 1005.",Chris Murphy,Computer Science,COMS,https://doc.sis.columbia.edu/subj/COMS/W1004-20261-001/,3,,STEM,2.0
4,ECON UN2261,ACCOUNTING & FINANCE FOR ECONOMICS,"The purpose of this course is to provide a basic introduction to accounting, including the
 foundations of accounting concepts, the underlying mechanics, and the overall perspective required
 to become intelligent users of accounting information. The course will focus on the main
 financial statements, the nature of accrual measurement, and the information perspective. In addition,
 we will explore some accounting methods in detail, such as revenue recognition, assets,
 liabilities, and equity.
 The overarching perspective is that accounting reports provide information that is useful for
 a variety of purposes. In the course, I will also provide insights into how the financial markets
 use accounting information to evaluate executives, predict future stock returns, assess firms’
 riskiness, and allocate society’s resources to their most productive uses.",Jose Cao-Alvira,Economics @Barnard,ECON,https://doc.sis.columbia.edu/subj/ECON/W2261-20261-001/,3,,STEM,2.65
5,IEOR E4524,ANALYTICS IN PRACTICE,"MSBA students only. Groups of students will work on real world projects in analytics, focusing on three aspects: identifying client analytical requirements; assembling, cleaning, and organizing data; identifying and implementing analytical techniques (statistics, OR, machine learning); and delivering results in a client-friendly format. Each project has a well-defined goal, comes with sources of data preidentified, and has been structured so that it can be completed in one semester. Client-facing class with numerous on-site client visits; students should keep Fridays clear for this purpose.",Hardeep Johar,Industrial Engineering and Operations Research,IEOR,https://doc.sis.columbia.edu/subj/IEOR/E4524-20261-001/,3,,STEM,1.97
6,ANTH UN3604,As If: Anthropologies of the Future,"This seminar engages--through science fiction and speculative fiction, film, and companion readings in anthropology and beyond—a range of approaches to the notion of the “future” and to the imagination of multiple futures to come.  We will work through virtual and fictive constructions of future worlds, ecologies, and social orders “as If” they present alternative possibilites for pragmatic yet utopian thinking and dreaming in the present (and as we’ll also consider dystopian and “heterotopian” possibilities as well).",Marilyn Ivy,Anthropology,ANTH,https://doc.sis.columbia.edu/subj/ANTH/W3604-20261-001/,4,,Social Science,3.61
7,POLS GU4134,MODERN POLITICAL THOUGHT,"Interpretations of civil society and the foundations of political order according to the two main traditions of political thought--contraction and Aristotelian. Readings include works by Hobbes, Spinoza, Locke, Montesquieu, Hume, Rousseau, Kant, Hegel, Saint-Simon, Tocqueville, Marx, and Mill.",Nadia Urbinati,Political Science,POLS,https://doc.sis.columbia.edu/subj/POLS/W4134-20261-001/,4,,Social Science,4.33
8,POLS BC3407,DEMOCRACY'S GUARDRAILS?,"The speed and smoothness of democratic backsliding and the suddenness of democratic breakdowns tend to surprise us. We expect established institutions and parties, as well as the individuals socialized in democratic norms who populate them, to remain loyal to democracy. But instead we often see both hard and soft guardrails of democracy (institutions and norms) crumble, as various combinations of judges, capitalists, party activists, bureaucrats, military officers, and law-enforcement personnel accept and even support the actions of aspiring authoritarians. In this course we will explore why and when this happens—and also look at conditions that might prevent this from happening.
  
 
  
Our focus will be specific—not on the would-be dictators or on structural forces that might shape these processes but on those institutions and actors that might be considered the bystanders or enablers of democratic reversals. Our readings will include political science literature on democratic breakdowns and fracturing of elite consensus, political norms, and strategic games of transition, but we will also read selections of relevant histories and memoirs. We will consider cases of breakdown and backsliding from 1930s Germany to 1970s Chile to twenty-first-century Hungary, Poland, and the United States—always focusing on potential guardrails.",Marjorie Castle,Political Science @Barnard,POLS,https://doc.sis.columbia.edu/subj/POLS/X3407-20261-001/,3,,Social Science,3.11
9,PSYC GU4470,PSYCH & NEUROPSYCH OF LANGUAGE,,Michele Miozzo,Psychology,PSYC,https://doc.sis.columbia.edu/subj/PSYC/G4470-20261-001/,4,,Social Science,1.43
10,POLS UN2601,International Politics,"Why do countries go to war? What conditions foster international cooperation? How do alliances between countries function? How are countries affected by global trade and investment, and in turn how does the political economy of individual countries shape international conflict and cooperation? How do ideas and culture (including both positive ideas like human rights and negative ideas like racism) affect international politics? What role do individuals and groups play in shaping international politics? What explains the international response to the COVID-19 pandemic? Why isn’t there significant cooperation on climate change, and can a new global cooperation emerge? What issues have garnered international attention, and how has that shaped the countries’ cooperation? What causes terrorism? Is the proliferation of nuclear (or cyber) weapons a threat to peace, and if so, how should the world response? Does UN peacekeeping work?
  
In this course we will begin to grapple with these questions. We will use theories developed by philosophers, political scientists and policy analysts, and we will examine the historical roots of today’s problems, in order to explain and predict the patterns of international politics and the possibilities for change. Throughout the course, students will be encouraged to choose and develop their own theories to explain events.
  
Learning Objectives:
  
By the end of the semester, students will accomplish the following:
  
  
Demonstrate broad factual and causal knowledge of important current and historical issues in international relations.
  
Apply contending theories from the political science literature and the policy world to analyze, compare, and evaluate events and trends in international relations.
  
Assess the value of competing theories in explaining events.
  
Synthesize facts and arguments across cases in order to reason critically and argue creatively, through both oral discussions in section and written essays.",Jayme R Schlesinger,Political Science,POLS,https://doc.sis.columbia.edu/subj/POLS/W2601-20261-001/,4,,Social Science,1.36
11,HIST GU4334,Debating the Holodomor,"Why did millions of Ukrainians starve under Stalin? In this seminar, we will engage with the contentious historiography of the famine of 1932-34 – a defining event of Soviet and Ukrainian history, and an essential touchstone for understanding the Russo-Ukrainian War today. Without losing sight of the famine’s human tragedy, we will focus especially on questions of causality, intent, and agency at multiple levels, from the Kremlin to the village. Drawing on studies of other famines within and outside the Soviet context (Russia, Kazakhstan, and China), participants will develop a robust comparative toolkit. The seminar aims to highlight historiographical advances, explore newly-available primary sources, and identify the remaining gaps in our understanding.",Andrey A Shlyakhter,History,HIST,https://doc.sis.columbia.edu/subj/HIST/W4334-20261-001/,4,,Humanities,2.17
12,HIST UN2222,NATURE & POWER: ENV HIST NORTH AMERICA,"Environmental history seeks to expand the customary framework of historical inquiry, challenging students to construct narratives of the past that incorporate not only human beings but also the natural world with which human life is intimately intertwined. As a result, environmental history places at center stage a wide range of previously overlooked historical actors such as plants, animals, and diseases. Moreover, by locating nature within human history, environmental history encourages its practitioners to rethink some of the fundamental categories through which our understanding of the natural world is expressed: wilderness and civilization, wild and tame, natural and artificial. For those interested in the study of ethnicity, environmental history casts into particularly sharp relief the ways in which the natural world can serve both to undermine and to reinforce the divisions within human societies. Although all human beings share profound biological similarities, they have nonetheless enjoyed unequal access to natural resources and to healthy environments—differences that have all-too-frequently been justified by depicting such conditions as “natural.”",Karl Jacoby,History,HIST,https://doc.sis.columbia.edu/subj/HIST/W2222-20261-001/,4,,Humanities,4.05
13,HIST UN1502,Introduction to American History to 1865,Required zero-point/ungraded discussion section for “Introduction to American History to 1865” lecture (HIST 1501),Erin E Null,History,HIST,https://doc.sis.columbia.edu/subj/HIST/W1502-20261-001/,0,,Humanities,3.91
14,HIST UN3644,MOD JEWISH INTELLECTUAL HIST,"This course analyzes Jewish intellectual history from Spinoza to the present. It tracks the radical transformation that modernity yielded in Jewish thought, both in the development of new, self-consciously modern, iterations of Judaism and Jewishness and in the more elusive but equally foundational changes in ""traditional"" Judaisms. Questions to be addressed include:  the development of the modern concept of ""religion"" and its effect on the Jews; the origin of the notion of ""Judaism"" parallel to Christianity, Islam, etc.; the rise of Jewish secularism and of secular Jewish ideologies, especially the Jewish Enlightenment movement (Haskalah), modern Jewish nationalism, and Zionism; the rise of Reform, Modern Orthodox, and Conservative Judaisms; Jewish neo-Romanticism and neo-Kantianism, and American Jewish religious thought.",Michael F Stanislawski,Auditing,HIST,https://doc.sis.columbia.edu/subj/HIST/Q3644-20261-AU1/,0,,Humanities,3.22
15,FREN UN3687,Gender Trouble in French and Francophone,"French and francophone literature from past centuries is replete with queer and feminist literary utopias. While some French-language authors have imagined fictional places where patriarchal structures have been weakened or reversed, others have imagined worlds in which the category of gender itself has been problematized or done away with. This course introduces students to the rich and long history of such texts from the middle ages to the present. Authors and filmmakers will include Christine de Pizan, George Sand, Alice Guy, Monique Wittig, Hélène Cixous, Léonora Miano, Mati Diop, Céline Sciamma and Paul Preciado. Class taught entirely in French.",Anna P Langewiesche,French,FREN,https://doc.sis.columbia.edu/subj/FREN/W3687-20261-001/,3,,Language,2.31
16,AHIS BC3867,Photo as Material: A Studio Lab in Inter,"Images today can feel increasingly unstable, untethered to physical and interpersonal experience, and also unstoppable, generating and proliferating at accelerating speeds. What do we do with all this material? What are the global consequences of the mass circulation of images? And how do artists specifically make sense of the contemporary state of photography? This course invites students into a non-conventional, interdisciplinary approach to making, reading, critiquing, and relating to images. We begin with the fundamentally physical elements of photography—space, light, and lens—and end with the embedded histories, social relations, and personal narratives that photographs can trace or carry. We discuss case studies and readings by and about artists and theorists who research and make work across international contexts, exploring, for example, how early colonial histories of photography prefigure its contemporary conditions, and how images can echo or challenge patterns of displacement and resistance. We create artworks informed by this research, exploring how to physically manipulate, present, and disseminate images in hands-on thematic projects that push photography beyond the screen or frame and into the material world.",Mira Dayal,Art History @Barnard,AHIS,https://doc.sis.columbia.edu/subj/AHIS/X3867-20261-001/,3,,Language,3.99
17,ENGL BC3521,GLOBAL LITERATURES IN ENGLISH,"The title of this course suggests that there are literatures across the “globe” written in English, and that we will study them. But this statement rests on a series of assumptions: the 
a priori 
existence of a globe with latitudes, longitudes, and borders; a singular category of “literature” produced in different geographical locations across the globe; and finally, that these literatures are written in English. During the course of the semester, we will investigate and (occasionally overturn) all three of these assumptions. 
  
In order to do so, we will read across different literary genres (short stories and novels, plays, poetry, and essays), while also reading texts that move between these genres or defy them altogether. We will read texts that were originally written in English, as well as texts that have been translated into English, and we will learn and discuss the term “global anglophone” along with the ways in which this term has been challenged. During our collective readings and discussions, we will map the locations that arise in each text 
and
 the locations out of which these texts arise. We will study the relationship between literature, translation, and mapping, and we will learn and discuss the concept of planetary thinking and writing as an alternative to border and global thinking.",Atefeh Akbari Shahmirzadi,English @Barnard,ENGL,https://doc.sis.columbia.edu/subj/ENGL/X3521-20261-001/,3,,Language,1.49
18,FILM UN2420,LABORATORY IN SCREENWRITING,This lab is limited to declared Film and Media Studies majors.  Exercises in the writing of film scripts.,Ari H Shapiro,Film,FILM,https://doc.sis.columbia.edu/subj/FILM/W2420-20261-001/,3,,Arts,2.24
19,FILM GU4953,Reality Television,"This course focuses on the origins, form, and social relevance of reality television. Specifically, the course will examine the industrial, economic, and ideological underpinnings of reality television to gesture toward larger themes about the evolution of television from the 1950s through the present, and the relationship between television and American culture and society. To this end, the class lectures, screenings, and discussions will emphasize (but are not limited to) topic of race, gender, sexuality, and class.",Racquel Gates,Film,FILM,https://doc.sis.columbia.edu/subj/FILM/W4953-20261-001/,3,,Arts,2.99
20,FILM BC3090,ARTEMIS RISING SHORT COURSE IN FILMMAKIN,"The Artemis Rising Short Course in Filmmaking is a two to four-week course offered each semester on a special topic of filmmaking presented by an Artemis Rising Foundation Filmmaker Fellow (ARFF). This series was endowed by the Artemis Rising Foundation to bring world-class filmmakers with hands-on experience and fresh perspectives to Barnard to connect with students interested in filmmaking as a vocation and media literacy.
  
It can only be taken for pass/fail for 1 point. 
Students must attend all four class sessions and write a final paper in order to receive credit for this course. 
To see the dates/times that the Artemis Rising Short Course will meet this semester, the current course description, and the biography of the visiting filmmaker, please visit the ARFF website: 
https://athenacenter.barnard.edu/arff
.",Alice A Reagan,Film @Barnard,FILM,https://doc.sis.columbia.edu/subj/FILM/X3090-20261-001/,1,,Arts,3.5
21,BMEN E4590,BIOMEMS:CELL/MOLECULAR APPLIC,"Topics include biomicroelectromechanical, microfluidic, and lab-on-a-chip systems in biomedical engineering, with a focus on cellular and molecular applications. Microfabrication techniques, biocompatibility, miniaturization of analytical and diagnostic devices, high-throughput cellular studies, microfabrication for tissue engineering, and in vivo devices.",Samuel Sia,Biomedical Engineering,BMEN,https://doc.sis.columbia.edu/subj/BMEN/E4590-20261-001/,3,,Natural Science,4.26
22,BMEN E4350,Biomechanics of Developmental Biology,"Biophysical mechanisms of tissue organization
 
during embryonic development: conservation laws, reaction-diffusion, finite elasticity, and fluid mechanics are reviewed and applied to a broad range of topics in developmental biology, from early development to later organogenesis of the central nervous, cardiovascular, musculoskeletal, respiratory, and gastrointestinal systems. Subdivided into modules on patterning (conversion of diffusible cues into cell fates) and morphogenesis (shaping of tissues), the course will include lectures, problem sets, reading of primary literature, and a final project.",Nandan L Nerurkar,Biomedical Engineering,BMEN,https://doc.sis.columbia.edu/subj/BMEN/E4350-20261-001/,3,,Natural Science,2.09
23,BMEN E4550,MICRO/NANO STRUCT CELL ENG,"Design, fabrication, and application of micro-/nanostructured systems for cell engineering. Recognition and response of cells to spatial aspects of their extracellular environment. Focus on neural, cardiac, coculture, and stem cell systems. Molecular complexes at the nanoscale.",Lance Kam,Biomedical Engineering,BMEN,https://doc.sis.columbia.edu/subj/BMEN/E4550-20261-001/,3,,Natural Science,3.71
